song,bass tuba,french horn,trombone,trumpet,accordion,contrabass,violin,viola,cello,bassoon,clarinet,flute,oboe,alto saxophone
BTb-ord-E2-pp-N-T25u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#4-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#2-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F3-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#1-ff-N-T12u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B1-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#2-mf-N-T26u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C4-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#1-ff-N-T30d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C2-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#4-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#4-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G1-ff-N-T15d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C2-pp-N-T13d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F3-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C2-mf-N-T23u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G1-pp-N-R100u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C4-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-E2-mf-N-T27u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#3-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A3-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D3-mf-N-T16u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#3-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#2-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C3-pp-N-T11d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G2-mf-N-T15u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-E4-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#3-mf-N-T11u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#1-pp-N-T16u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B1-mf-N-T16u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#1-mf-N-T18u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#2-mf-N-T19u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D#3-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#3-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G3-pp-N-T14d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G3-mf-N-T14u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#1-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-E3-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F3-mf-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A3-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#3-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A3-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-E4-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D3-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-D2-mf-N-T15u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#2-ff-N-T19u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-F#1-ff-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#4-ff-N-T21u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A1-pp-N-T23d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-A#1-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-G#2-pp-N-T16u,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-C#3-pp-N-N,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTb-ord-B2-pp-N-T11d,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TpC-ord-D4-mf-N-T13u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F5-pp-N-T12d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F#5-pp-N-T22d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#3-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A3-ff-N-T23u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F5-mf-N-T11d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F#4-mf-N-T16u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C4-pp-N-T10d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#3-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G3-mf-N-T12u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#4-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C#5-mf-N-T17u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B3-ff-N-R100d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G4-mf-N-T15u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D5-mf-N-T14u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F#4-pp-N-T12u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A4-ff-N-T22u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C5-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C#5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A3-pp-N-T10d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D#4-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#3-ff-N-T23u_R100d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#4-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G4-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C6-ff-N-T17u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A4-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D#5-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F#4-ff-N-T14u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F#5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D#5-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F4-ff-N-T17u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D4-ff-N-T27u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#5-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#4-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-E4-mf-N-T11u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#3-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B3-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D#5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C#4-pp-N-T11u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A5-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G5-pp-N-T25d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A5-pp-N-T26d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B5-mf-N-T13u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#4-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D5-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G#5-pp-N-T23d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C#4-ff-N-T39u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D4-pp-N-T18u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B4-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C6-mf-N-T11u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C#6-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C#4-mf-N-T17u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C4-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D#4-mf-N-T16u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#3-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-E5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C5-pp-N-T11d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#5-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G5-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#3-ff-N-T23u_R100u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C#5-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D6-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#4-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F#3-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C#6-mf-N-T10u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F#5-mf-N-T10d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D#4-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B4-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-E5-mf-N-R100u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A3-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F#3-mf-N-T23u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B4-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F4-pp-N-T12u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-D6-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-E4-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C4-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#5-mf-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-E4-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A#4-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-C6-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-E5-pp-N-T31d,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B5-ff-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-F4-mf-N-T25u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G4-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A5-ff-N-T13u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G3-ff-N-T21u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B3-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-B5-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-G3-pp-N-N,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TpC-ord-A4-mf-N-T19u,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#3-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E2-ff-N-T12d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F#4-mf-N-T10u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F2-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E2-pp-N-T21u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G4-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A4-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A2-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B4-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F#4-ff-N-T10u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C2-ff-N-T58d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F4-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F#4-pp-N-T10u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B2-mf-N-T26d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G#2-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F#2-ff-N-T24d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F#3-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C5-mf-N-T23u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C#2-mf-N-T33d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E3-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B1-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F#3-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F3-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#2-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G#3-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B3-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D#2-pp-N-T14u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D4-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D#3-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E2-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C#3-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G#4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D#4-pp-N-T13u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C3-mf-N-T18d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#1-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D#2-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B4-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C#4-mf-N-T13d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F3-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F2-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G#3-ff-N-T10u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B2-pp-N-T19d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A3-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G3-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F4-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C#4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D4-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D3-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E4-mf-N-T10u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#1-ff-N-T14d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C4-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B2-ff-N-T26d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G4-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F3-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D#4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#2-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F2-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-F#2-mf-N-T28d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C#2-ff-N-T21d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G3-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D2-pp-N-T12d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#3-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G#2-ff-N-T15u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G2-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D#3-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E4-ff-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C4-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E3-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A4-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D#4-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A2-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B1-mf-N-T14d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D3-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#2-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A3-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E3-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-B1-ff-N-T27d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-D2-mf-N-T26d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-A#1-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C#4-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C5-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-G#3-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C5-ff-N-T24u,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-E4-pp-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C3-ff-N-T25d,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tbn-ord-C#3-mf-N-N,0,0,1,0,0,0,0,0,0,0,0,0,0,0
